idx,  act, range, tcyc, nspots, fmax
263, 0.14, 53.77, 18.1,    12, 6.87e-04
264, 0.48, 59.18, 30.0,     0,
265, 4.72, 28.04,  4.2,  1290, 3.42e-02
266, 8.15, 33.40,  3.9,   457, 4.08e-03
267, 4.90, 24.95, 17.2,    43, 2.50e-03
268, 6.93, 36.84,  3.6,   824, 3.40e-03
269, 2.67, 12.62,  7.2,    58, 1.95e-03
270, 0.25, 54.08, 18.7,    16, 6.37e-04
271, 0.99, 47.12,  4.9,    49, 7.28e-04
272, 0.15, 23.91,  1.2,    29, 2.18e-03
273, 2.32, 26.23, 29.5,     1, 8.61e-05
274, 0.12,  7.61, 26.5,     0,
275, 0.64, 24.69,  1.7,   114, 3.27e-03
276, 0.15, 31.39,  5.7,     2, 1.25e-04
277, 4.51, 30.31,  8.6,    57, 6.41e-04
278, 1.02, 36.77, 36.8,     2, 8.20e-05
279, 5.59, 29.90, 38.2,    52, 1.45e-03
280, 1.97, 42.08,  6.1,    54, 3.01e-03
281, 0.12, 41.17, 38.2,     0,
282, 0.16, 66.35, 16.9,     0,
283, 0.76, 49.73,  1.1,   112, 4.21e-03
284, 0.80, 56.30, 18.7,   228, 3.97e-03
285, 1.16,  8.15, 27.7,    19, 7.37e-04
286, 9.40, 53.65,  1.8,  1535, 5.11e-02
287, 4.97, 13.70,  2.3,   615, 2.09e-02
288, 4.50, 46.69, 10.6,  1269, 1.77e-02
289, 3.39, 71.70,  5.6,    99, 3.19e-03
290, 0.14, 27.59, 31.9,     0,
291, 0.14, 17.41,  9.3,    15, 8.27e-04
292, 9.89, 21.76, 24.2,    17, 1.66e-04
293, 5.76,  9.76,  2.6,   603, 1.65e-02
294, 1.13,  7.24,  2.9,   226, 1.55e-03
295, 0.11, 23.80, 24.9,     3, 1.20e-04
296, 6.61, 23.65,  6.5,   255, 1.46e-03
297, 0.29, 29.55,  4.9,    14, 2.56e-04
298, 0.31, 43.48, 30.3,     0,
299, 6.69, 58.73, 15.3,    32, 9.77e-04
300, 6.64,  8.77, 26.3,   321, 2.14e-03
301, 0.12, 45.29,  1.4,    30, 7.86e-04
302, 1.93, 36.01,  1.9,   514, 1.43e-02
303, 1.41, 30.68,  2.3,   174, 1.68e-03
304, 1.00, 70.99,  4.6,   211, 7.03e-04
305, 4.40, 32.72,  1.9,   885, 2.55e-02
306, 0.95, 38.59,  2.4,   177, 1.65e-03
307, 0.75, 39.63, 31.5,    12, 8.87e-04
308, 9.48,  8.04,  1.1,  1907, 6.09e-02
309, 0.16, 36.22, 14.8,    10, 6.21e-04
310, 9.39, 11.10,  1.4,  1746, 2.92e-02
311, 0.21, 20.86,  5.7,    19, 1.64e-03
312, 2.11, 38.60,  6.1,    46, 9.46e-04
313, 0.20, 38.35, 12.3,    35, 4.54e-04
314, 0.66, 34.33,  1.1,   130, 3.22e-03
315, 1.65, 54.88, 25.3,     5, 3.56e-04
316, 0.54, 47.68,  1.2,   135, 6.68e-04
317, 0.27, 35.98, 19.7,    29, 1.28e-03
318, 8.54, 82.75, 40.0,    13, 4.07e-04
319, 4.30,  8.15, 26.1,  1335, 2.46e-02
320, 0.36,  7.80,  2.4,    35, 1.11e-03
321, 0.11, 32.97,  3.9,     9, 3.95e-04
322, 0.26, 20.30,  4.8,    11, 8.68e-04
323, 0.14, 38.93,  1.7,    13, 6.77e-04
324, 3.89, 33.86, 11.7,    25, 8.54e-04
325, 8.98, 19.92,  2.8,   867, 2.16e-02
326, 0.88, 61.97,  7.3,   108, 4.70e-03
327, 0.78, 14.29,  1.9,   132, 2.30e-03
328, 1.56, 36.37,  6.7,   177, 4.83e-03
329, 1.92, 34.09,  1.7,   345, 4.24e-03
330, 4.51, 58.89,  2.5,   511, 1.27e-02
331, 0.35, 25.26,  4.9,    16, 1.18e-03
332, 0.17, 34.56,  1.1,    32, 1.09e-03
333, 2.31, 24.13,  4.9,    74, 1.92e-03
334, 0.84, 15.77, 24.5,     0,
335, 0.19, 24.45, 11.0,     1, 6.02e-05
336, 4.86, 22.86,  6.2,   126, 2.24e-03
337, 4.75,  5.19,  1.6,   838, 3.11e-02
338, 3.60, 70.93, 24.3,   459, 1.22e-02
339, 0.92, 36.67,  3.9,   167, 5.21e-03
340, 0.14, 17.29,  7.3,     6, 1.51e-04
341, 0.13, 52.97,  1.4,    37, 1.00e-03
342, 8.03, 52.07, 27.3,   241, 4.20e-03
343, 5.99, 48.71, 29.5,   457, 5.31e-03
344, 1.83, 57.78,  1.5,   350, 7.37e-03
345, 0.78, 45.42,  1.9,   121, 3.89e-03
346, 0.16, 48.02,  3.8,    10, 3.60e-04
347, 0.60, 37.45,  8.3,    99, 2.81e-03
348, 9.52, 17.93,  9.7,   138, 3.76e-03
349, 1.97, 27.40, 23.0,   110, 1.64e-03
350, 8.72,  8.72, 14.7,  1336, 1.97e-03
351, 1.92, 11.87, 11.6,    61, 7.90e-04
352, 0.13, 12.98,  8.1,     2, 5.05e-05
353, 0.61, 54.25, 37.8,     0,
354, 0.85, 67.05,  1.1,   187, 6.60e-03
355, 8.01, 53.18,  4.0,   653, 1.86e-02
356, 2.85, 53.41, 11.3,   189, 6.09e-03
357, 0.25, 43.55, 22.0,     0,
358, 0.10, 55.29, 10.2,    12, 5.69e-04
359, 3.35, 29.33, 16.8,    10, 3.38e-04
360, 0.22, 54.70,  8.8,     4, 2.12e-04
361, 2.86, 28.27,  1.4,   541, 9.70e-03
362, 3.74, 42.77, 24.0,    15, 4.22e-04
363, 8.44, 43.11, 34.5,     9, 2.87e-04
364, 8.92, 37.08,  4.5,   920, 1.94e-03
365, 1.41, 18.30,  6.8,   400, 5.46e-03
366, 0.14, 23.35,  6.7,    12, 7.08e-04
367, 3.09, 19.57, 28.0,   471, 8.96e-03
368, 1.85, 16.91, 11.5,    79, 2.51e-03
369, 0.20, 34.75,  2.3,    23, 2.93e-04
370, 7.73, 14.03, 13.1,    66, 2.06e-03
371, 0.17, 46.92,  2.1,    29, 7.85e-04
372, 1.64, 16.94,  5.9,    79, 1.79e-03
373, 0.90, 30.51,  1.5,   208, 1.80e-03
374, 0.10, 48.17,  8.8,     1, 6.97e-05
375, 1.37, 33.52, 27.9,     3, 5.39e-05
376, 0.11, 27.57, 20.0,    14, 4.68e-04
377, 0.15, 45.56, 36.7,    45, 7.33e-04
378, 1.28, 35.80,  8.6,    60, 8.90e-04
379, 1.16, 30.77, 21.0,     2, 1.58e-04
380, 2.40, 64.13, 17.9,     8, 1.08e-04
381, 4.69, 64.60,  4.9,  1307, 2.74e-03
382, 4.61, 39.60,  8.8,    63, 2.22e-03
383, 0.54,  8.64, 11.5,     9, 2.49e-04
384, 0.50, 13.80, 15.8,    75, 2.51e-03
385, 4.16, 40.00,  2.0,   624, 2.95e-02
386, 3.37, 34.60, 10.1,    25, 9.51e-04
387, 0.63, 28.24, 16.0,     3, 1.24e-04
388, 2.97, 48.23, 11.8,    50, 1.63e-03
389, 4.64, 45.36,  1.0,   856, 2.15e-02
390, 1.74, 51.48,  5.9,   376, 2.27e-03
391, 1.57, 12.21,  7.0,   163, 4.81e-03
392, 0.34, 76.48,  9.5,    66, 7.64e-04
393, 4.25, 25.95,  6.2,   205, 3.51e-03
394, 2.99, 18.45,  7.3,   834, 3.28e-03
395, 0.85,  9.83, 29.9,    14, 3.67e-04
396, 1.59, 39.29,  7.5,    17, 3.64e-04
397, 0.11, 44.71,  4.6,    28, 8.93e-04
398, 5.87, 53.59, 10.2,    57, 1.48e-03
399, 0.17, 17.01,  3.9,     7, 3.38e-04
400, 7.61, 11.06, 20.7,  1967, 3.75e-02
401, 0.11,  8.40,  1.6,    23, 5.83e-04
402, 2.73,  7.61,  3.7,   171, 6.10e-03
403, 3.50, 19.49,  1.4,   668, 1.04e-02
404, 0.60, 29.11, 12.5,     8, 2.18e-04
405, 0.82, 48.01, 26.3,   159, 2.87e-03
406, 1.14, 23.07, 30.3,    92, 5.61e-04
407, 0.86, 40.01, 34.2,     0,
408, 0.20,  5.32, 19.9,     0,
409, 4.60,  6.22, 19.1,  1446, 1.97e-02
410, 5.83, 37.20,  6.7,   139, 2.40e-03
411, 7.33, 50.01,  2.0,  1390, 3.48e-02
412, 4.45, 54.85,  6.5,   742, 6.59e-04
413, 7.42, 45.96, 36.3,     7, 2.10e-04
414, 1.26,  8.58,  6.4,    19, 7.35e-04
415, 2.44, 19.03,  1.6,   675, 2.35e-02
416, 1.16, 20.93, 18.8,   139, 6.20e-03
417, 0.15, 36.85, 13.8,     4, 5.03e-04
418, 0.32, 41.19,  3.3,    66, 1.47e-03
419, 0.47, 20.37, 26.5,    15, 5.22e-04
420, 2.11, 33.55,  2.6,   221, 9.14e-03
421, 3.91, 24.11, 38.1,     2, 9.58e-05
422, 6.62, 52.78, 20.0,   314, 6.73e-03
423, 1.69, 23.30,  1.2,   459, 1.01e-02
424, 1.06, 28.49, 18.6,   279, 7.39e-03
425, 5.55, 27.17, 11.8,   220, 3.54e-03
426, 8.61, 33.07, 12.9,    99, 2.71e-03
427, 5.51, 34.68,  1.8,  1041, 3.12e-02
428, 0.55, 33.52,  2.4,    53, 8.95e-04
429, 1.08, 29.43,  3.3,   352, 3.29e-03
